"name","count","countries","cities","roles","samples","etoStatus","category"
"Bab Al Shams Desert Resor, Dubai","8","United Arab Emirates","Bab Al Shams Desert Resor, Dubai","to","Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai || Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai || Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai","missing","hotel_resort"
"Phuket Island to delete","8","Thailand","Phuket Island to delete","to","Krabi International Airport (KBV) -> Phuket Island to delete || Krabi International Airport (KBV) -> Phuket Island to delete || Phuket International Airport (HKT) -> Phuket Island to delete","missing","ambiguous"
"Conrad Hotel Samui","7","Thailand","Conrad Hotel Samui","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Conrad Hotel Samui || Koh Samui - Mae Nam Port (Surat Thani ) -> Conrad Hotel Samui || Samui International Airport (USM) -> Conrad Hotel Samui","missing","hotel_resort"
"Element Boutique","7","Thailand","Element Boutique","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Element Boutique || Koh Samui - Mae Nam Port (Surat Thani ) -> Element Boutique || Samui International Airport (USM) -> Element Boutique","missing","hotel_resort"
"Petra","6","Jordan","Petra","to","Amman Civil Airport (Marka) (ADJ) -> Petra || Amman Civil Airport (Marka) (ADJ) -> Petra || Amman Civil Airport (Marka) (ADJ) -> Petra","missing","city"
"Saint Petersburg","6","Russia","Saint Petersburg","to","Saint-Petersburg Pulkovo Airport (LED) -> Saint Petersburg || Saint-Petersburg Pulkovo Airport (LED) -> Saint Petersburg || Saint-Petersburg Pulkovo Airport (LED) -> Saint Petersburg","missing","city"
"Sheikh Hussein Bridge","6","Jordan","Sheikh Hussein Bridge","to","Amman Civil Airport (Marka) (ADJ) -> Sheikh Hussein Bridge || Amman Civil Airport (Marka) (ADJ) -> Sheikh Hussein Bridge || Amman Civil Airport (Marka) (ADJ) -> Sheikh Hussein Bridge","missing","city"
"Avsallar","5","Turkey","Avsallar","to","Antalya Airport (AYT) -> Avsallar || Antalya Airport (AYT) -> Avsallar || Antalya Airport (AYT) -> Avsallar","missing","city"
"Basel","5","France","Basel","to","EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Basel || EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Basel || EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Basel","missing","city"
"Colakli / Çolaklı","5","Turkey","Colakli / Çolaklı","to","Antalya Airport (AYT) -> Colakli / Çolaklı || Antalya Airport (AYT) -> Colakli / Çolaklı || Antalya Airport (AYT) -> Colakli / Çolaklı","missing","city"
"Evrenseki","5","Turkey","Evrenseki","to","Antalya Airport (AYT) -> Evrenseki || Antalya Airport (AYT) -> Evrenseki || Antalya Airport (AYT) -> Evrenseki","missing","city"
"Hua Thanon, Samui","5","Thailand","Hua Thanon, Samui","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Hua Thanon, Samui || Koh Samui - Mae Nam Port (Surat Thani ) -> Hua Thanon, Samui || Samui International Airport (USM) -> Hua Thanon, Samui","missing","city"
"Kadriye","5","Turkey","Kadriye","to","Antalya Airport (AYT) -> Kadriye || Antalya Airport (AYT) -> Kadriye || Antalya Airport (AYT) -> Kadriye","missing","city"
"Kizilagac / Kızılağaç","5","Turkey","Kizilagac / Kızılağaç","to","Antalya Airport (AYT) -> Kizilagac / Kızılağaç || Antalya Airport (AYT) -> Kizilagac / Kızılağaç || Antalya Airport (AYT) -> Kizilagac / Kızılağaç","missing","city"
"Konakli","5","Turkey","Konakli","to","Antalya Airport (AYT) -> Konakli || Antalya Airport (AYT) -> Konakli || Antalya Airport (AYT) -> Konakli","missing","city"
"Malmö / Malmo","5","Denmark|Sweden","Malmö / Malmo","to","Copenhagen Kastrup Airport (CPH) -> Malmö / Malmo || Copenhagen Kastrup Airport (CPH) -> Malmö / Malmo || Copenhagen Kastrup Airport (CPH) -> Malmö / Malmo","missing","city"
"Railay, Krabi","5","Thailand","Railay, Krabi","to","Krabi International Airport (KBV) -> Railay, Krabi || Krabi International Airport (KBV) -> Railay, Krabi || Phuket International Airport (HKT) -> Railay, Krabi","missing","city"
"Turkler / Türkler","5","Turkey","Turkler / Türkler","to","Antalya Airport (AYT) -> Turkler / Türkler || Antalya Airport (AYT) -> Turkler / Türkler || Antalya Airport (AYT) -> Turkler / Türkler","missing","city"
"Adrasan","4","Turkey","Adrasan","to","Antalya Airport (AYT) -> Adrasan || Antalya Airport (AYT) -> Adrasan || Antalya Airport (AYT) -> Adrasan","missing","city"
"Aleenta Phuket Phang Nga + NaTai","4","Thailand","Aleenta Phuket Phang Nga + NaTai","to","Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai || Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai || Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai","missing","hotel_resort"
"Camyuva / Çamyuva","4","Turkey","Camyuva / Çamyuva","to","Antalya Airport (AYT) -> Camyuva / Çamyuva || Antalya Airport (AYT) -> Camyuva / Çamyuva || Antalya Airport (AYT) -> Camyuva / Çamyuva","missing","city"
"Cirali / Çıralı (Kemer, Antlaya)","4","Turkey","Cirali / Çıralı (Kemer, Antlaya)","to","Antalya Airport (AYT) -> Cirali / Çıralı (Kemer, Antlaya) || Antalya Airport (AYT) -> Cirali / Çıralı (Kemer, Antlaya) || Antalya Airport (AYT) -> Cirali / Çıralı (Kemer, Antlaya)","missing","city"
"Denizyaka","4","Turkey","Denizyaka","to","Antalya Airport (AYT) -> Denizyaka || Antalya Airport (AYT) -> Denizyaka || Antalya Airport (AYT) -> Denizyaka","missing","city"
"Hamburg","4","Germany","Hamburg","to","Hamburg Airport (HAM) -> Hamburg || Hamburg Airport (HAM) -> Hamburg || Hamburg Airport (HAM) -> Hamburg","missing","city"
"Kargıcak","4","Turkey","Kargıcak","to","Antalya Airport (AYT) -> Kargıcak || Antalya Airport (AYT) -> Kargıcak || Antalya Airport (AYT) -> Kargıcak","missing","city"
"Kiris / Kiriş","4","Turkey","Kiris / Kiriş","to","Antalya Airport (AYT) -> Kiris / Kiriş || Antalya Airport (AYT) -> Kiris / Kiriş || Antalya Airport (AYT) -> Kiris / Kiriş","missing","city"
"Okurcalar","4","Turkey","Okurcalar","to","Antalya Airport (AYT) -> Okurcalar || Antalya Airport (AYT) -> Okurcalar || Antalya Airport (AYT) -> Okurcalar","missing","city"
"San Diego (0-19 miles)","4","United States of America","San Diego (0-19 miles)","to","San Diego International Airport (SAN) -> San Diego (0-19 miles) || San Diego International Airport (SAN) -> San Diego (0-19 miles) || San Diego International Airport (SAN) -> San Diego (0-19 miles)","missing","city"
"San Diego (20-39 miles)","4","United States of America","San Diego (20-39 miles)","to","San Diego International Airport (SAN) -> San Diego (20-39 miles) || San Diego International Airport (SAN) -> San Diego (20-39 miles) || San Diego International Airport (SAN) -> San Diego (20-39 miles)","missing","city"
"San Diego (40-59 miles)","4","United States of America","San Diego (40-59 miles)","to","San Diego International Airport (SAN) -> San Diego (40-59 miles) || San Diego International Airport (SAN) -> San Diego (40-59 miles) || San Diego International Airport (SAN) -> San Diego (40-59 miles)","missing","city"
"Tai Po","4","China","Tai Po","to","Hong Kong Airport (HKG) -> Tai Po || Hong Kong Airport (HKG) -> Tai Po || Hong Kong Airport (HKG) -> Tai Po","missing","city"
"Tuen Mun","4","China","Tuen Mun","to","Hong Kong Airport (HKG) -> Tuen Mun || Hong Kong Airport (HKG) -> Tuen Mun || Hong Kong Airport (HKG) -> Tuen Mun","missing","city"
"Wong Tai Sin","4","China","Wong Tai Sin","to","Hong Kong Airport (HKG) -> Wong Tai Sin || Hong Kong Airport (HKG) -> Wong Tai Sin || Hong Kong Airport (HKG) -> Wong Tai Sin","missing","city"
"Yuen Long","4","China","Yuen Long","to","Hong Kong Airport (HKG) -> Yuen Long || Hong Kong Airport (HKG) -> Yuen Long || Hong Kong Airport (HKG) -> Yuen Long","missing","city"
"Bozburun (Marmaris)","3","Turkey","Bozburun (Marmaris)","to","Dalaman Airport (DLM) -> Bozburun (Marmaris) || Dalaman Airport (DLM) -> Bozburun (Marmaris) || Dalaman Airport (DLM) -> Bozburun (Marmaris)","missing","city"
"Doi Suthep Temple","3","Thailand","Doi Suthep Temple","to","Chiang Mai International Airport (CNX) -> Doi Suthep Temple || Chiang Mai International Airport (CNX) -> Doi Suthep Temple || Chiang Mai International Airport (CNX) -> Doi Suthep Temple","missing","city"
"Incekum","3","Turkey","Incekum","to","Antalya Airport (AYT) -> Incekum || Antalya Airport (AYT) -> Incekum || Antalya Airport (AYT) -> Incekum","missing","city"
"Kaitaa / Soukka / Matinkyla / Olari / Latokaski","3","Finland","Kaitaa / Soukka / Matinkyla / Olari / Latokaski","to","Helsinki Vantaa airport (HEL) -> Kaitaa / Soukka / Matinkyla / Olari / Latokaski || Helsinki Vantaa airport (HEL) -> Kaitaa / Soukka / Matinkyla / Olari / Latokaski || Helsinki Vantaa airport (HEL) -> Kaitaa / Soukka / Matinkyla / Olari / Latokaski","missing","city"
"Kizilot","3","Turkey","Kizilot","to","Antalya Airport (AYT) -> Kizilot || Antalya Airport (AYT) -> Kizilot || Antalya Airport (AYT) -> Kizilot","missing","city"
"Lampoon","3","Thailand","Lampoon","to","Chiang Mai International Airport (CNX) -> Lampoon || Chiang Mai International Airport (CNX) -> Lampoon || Chiang Mai International Airport (CNX) -> Lampoon","missing","city"
"Oba","3","Turkey","Oba","to","Antalya Airport (AYT) -> Oba || Antalya Airport (AYT) -> Oba || Antalya Airport (AYT) -> Oba","missing","city"
"Rauma","3","Finland","Rauma","to","Helsinki Vantaa airport (HEL) -> Rauma || Helsinki Vantaa airport (HEL) -> Rauma || Helsinki Vantaa airport (HEL) -> Rauma","missing","city"
"Rovaniemi City","3","Finland|Sweden","Rovaniemi City","to","Rovaniemi Airport (RVN) -> Rovaniemi City || Rovaniemi Airport (RVN) -> Rovaniemi City || Luleå Airport (LLA) -> Rovaniemi City","missing","city"
"Selimiye (Marmaris)","3","Turkey","Selimiye (Marmaris)","to","Dalaman Airport (DLM) -> Selimiye (Marmaris) || Dalaman Airport (DLM) -> Selimiye (Marmaris) || Dalaman Airport (DLM) -> Selimiye (Marmaris)","missing","city"
"Shahdag (Quba, Qusar)","3","Azerbaijan","Shahdag (Quba, Qusar)","to","Baku Heydar Aliyev International Airport (GYD) -> Shahdag (Quba, Qusar) || Baku Heydar Aliyev International Airport (GYD) -> Shahdag (Quba, Qusar) || Baku Heydar Aliyev International Airport (GYD) -> Shahdag (Quba, Qusar)","missing","city"
"Titreyengol lake","3","Turkey","Titreyengol lake","to","Antalya Airport (AYT) -> Titreyengol lake || Antalya Airport (AYT) -> Titreyengol lake || Antalya Airport (AYT) -> Titreyengol lake","missing","city"
"Tufandag (Gabala)","3","Azerbaijan","Tufandag (Gabala)","to","Baku Heydar Aliyev International Airport (GYD) -> Tufandag (Gabala) || Baku Heydar Aliyev International Airport (GYD) -> Tufandag (Gabala) || Baku Heydar Aliyev International Airport (GYD) -> Tufandag (Gabala)","missing","city"
"Anadolu transfer","2","Turkey","Istanbul","to","Bursa -> Anadolu transfer || Bursa -> Anadolu transfer","missing","city"
"Ao Thalane Bay, Krabi","2","Thailand","Ao Thalane Bay, Krabi","to","Phuket International Airport (HKT) -> Ao Thalane Bay, Krabi || Phuket International Airport (HKT) -> Ao Thalane Bay, Krabi","missing","city"
"Bang Saen, Chon Buri","2","Thailand","Bang Saen, Chon Buri","to","Bangkok Suvarnabhumi Airport (BKK) -> Bang Saen, Chon Buri || Bangkok Suvarnabhumi Airport (BKK) -> Bang Saen, Chon Buri","missing","city"
"Central and Western","2","China","Central and Western","to","Hong Kong Airport (HKG) -> Central and Western || Hong Kong Airport (HKG) -> Central and Western","missing","city"
"Cheow Lan Dam, Surat Thani","2","Thailand","Cheow Lan Dam, Surat Thani","to","Phuket International Airport (HKT) -> Cheow Lan Dam, Surat Thani || Phuket International Airport (HKT) -> Cheow Lan Dam, Surat Thani","missing","city"
"Disposal up to 8 hours / 100 km within Istanbul","2","Turkey","Istanbul","to","Istanbul -> Disposal up to 8 hours / 100 km within Istanbul || Istanbul -> Disposal up to 8 hours / 100 km within Istanbul","missing","ambiguous"
"El Alamein","2","Egypt","El Alamein","to","Cairo International Airport (CAI) -> El Alamein || Cairo International Airport (CAI) -> El Alamein","missing","city"
"Emerald Lake Hotel Thailand","2","Thailand","Emerald Lake Hotel Thailand","to","Krabi International Airport (KBV) -> Emerald Lake Hotel Thailand || Krabi International Airport (KBV) -> Emerald Lake Hotel Thailand","missing","hotel_resort"
"Full day disposal up to 12 hours / 120 km classic Istanbul tour","2","Turkey","Istanbul","to","Istanbul -> Full day disposal up to 12 hours / 120 km classic Istanbul tour || Istanbul -> Full day disposal up to 12 hours / 120 km classic Istanbul tour","missing","ambiguous"
"Gåshaga","2","Sweden","Gåshaga","to","Stockholm Arlanda Airport (ARN) -> Gåshaga || Stockholm Arlanda Airport (ARN) -> Gåshaga","missing","city"
"Grand Rotana Resort","2","Egypt","Grand Rotana Resort","to","Sharm el-Sheikh International Airport (SSH) -> Grand Rotana Resort || Sharm el-Sheikh International Airport (SSH) -> Grand Rotana Resort","missing","hotel_resort"
"Grisslehamn","2","Sweden","Grisslehamn","to","Stockholm Arlanda Airport (ARN) -> Grisslehamn || Stockholm Arlanda Airport (ARN) -> Grisslehamn","missing","city"
"Heliopolis","2","Egypt","Heliopolis","to","Cairo International Airport (CAI) -> Heliopolis || Cairo International Airport (CAI) -> Heliopolis","missing","city"
"Hetepuronpolku","2","Finland","Hetepuronpolku","to","Rovaniemi Airport (RVN) -> Hetepuronpolku || Rovaniemi Airport (RVN) -> Hetepuronpolku","missing","city"
"Hot Waterfall Hotel/ Hot Stream Krabi Thailand","2","Thailand","Hot Waterfall Hotel/ Hot Stream Krabi Thailand","to","Krabi International Airport (KBV) -> Hot Waterfall Hotel/ Hot Stream Krabi Thailand || Krabi International Airport (KBV) -> Hot Waterfall Hotel/ Hot Stream Krabi Thailand","missing","hotel_resort"
"Karvonranta","2","Finland","Karvonranta","to","Rovaniemi Airport (RVN) -> Karvonranta || Rovaniemi Airport (RVN) -> Karvonranta","missing","city"
"Korkalovaara","2","Finland","Korkalovaara","to","Rovaniemi Airport (RVN) -> Korkalovaara || Rovaniemi Airport (RVN) -> Korkalovaara","missing","city"
"Nabq Bay","2","Egypt","Nabq Bay","to","Sharm el-Sheikh International Airport (SSH) -> Nabq Bay || Sharm el-Sheikh International Airport (SSH) -> Nabq Bay","missing","city"
"Nacka, Sweden","2","Sweden","Nacka, Sweden","to","Stockholm Arlanda Airport (ARN) -> Nacka, Sweden || Stockholm Arlanda Airport (ARN) -> Nacka, Sweden","missing","city"
"Nathon-Lipa Thailand","2","Thailand","Nathon-Lipa Thailand","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Nathon-Lipa Thailand || Samui International Airport (USM) -> Nathon-Lipa Thailand","missing","city"
"Nivavaara","2","Finland","Nivavaara","to","Rovaniemi Airport (RVN) -> Nivavaara || Rovaniemi Airport (RVN) -> Nivavaara","missing","city"
"Nusa dua","2","Indonesia","Nusa dua","to","Denpasar Ngurah Rai Airport (DPS) -> Nusa dua || Ubud -> Nusa dua","missing","city"
"Petrozavodsk","2","Russia","Petrozavodsk","to","Petrozavodsk Airport (PES) -> Petrozavodsk || Petrozavodsk Airport (PES) -> Petrozavodsk","missing","city"
"Phetchaburi","2","Thailand","Phetchaburi","to","Bangkok Suvarnabhumi Airport (BKK) -> Phetchaburi || Bangkok Suvarnabhumi Airport (BKK) -> Phetchaburi","missing","city"
"Phoenix, AZ","2","United States of America","Phoenix, AZ","to","Phoenix Sky Harbor Airport (PHX) -> Phoenix, AZ || Phoenix Sky Harbor Airport (PHX) -> Phoenix, AZ","missing","city"
"Pissouri","2","Cyprus","Pissouri","to","Larnaca Airport (LCA) -> Pissouri || Paphos Airport (PFO) -> Pissouri","missing","city"
"Polis","2","Cyprus","Polis","to","Larnaca Airport (LCA) -> Polis || Paphos Airport (PFO) -> Polis","missing","city"
"Pomos","2","Cyprus","Pomos","to","Larnaca Airport (LCA) -> Pomos || Paphos Airport (PFO) -> Pomos","missing","city"
"Protaras","2","Cyprus","Protaras","to","Larnaca Airport (LCA) -> Protaras || Paphos Airport (PFO) -> Protaras","missing","city"
"Pullinranta","2","Finland","Pullinranta","to","Rovaniemi Airport (RVN) -> Pullinranta || Rovaniemi Airport (RVN) -> Pullinranta","missing","city"
"Ranong","2","Thailand","Ranong","to","Phuket International Airport (HKT) -> Ranong || Phuket International Airport (HKT) -> Ranong","missing","city"
"Ras Suder","2","Egypt","Ras Suder","to","Cairo International Airport (CAI) -> Ras Suder || Cairo International Airport (CAI) -> Ras Suder","missing","city"
"Rovaniemen mlk Suutarinkorva","2","Finland","Rovaniemen mlk Suutarinkorva","to","Rovaniemi Airport (RVN) -> Rovaniemen mlk Suutarinkorva || Rovaniemi Airport (RVN) -> Rovaniemen mlk Suutarinkorva","missing","city"
"Sadao Border (to Malaysia), Songkhla","2","Thailand","Sadao Border (to Malaysia), Songkhla","to","Phuket International Airport (HKT) -> Sadao Border (to Malaysia), Songkhla || Phuket International Airport (HKT) -> Sadao Border (to Malaysia), Songkhla","missing","city"
"Safaga","2","Egypt","Safaga","to","Hurghada Airport (HRG) -> Safaga || Hurghada Airport (HRG) -> Safaga","missing","city"
"Saint Catherine","2","Egypt","Saint Catherine","to","Sharm el-Sheikh International Airport (SSH) -> Saint Catherine || Sharm el-Sheikh International Airport (SSH) -> Saint Catherine","missing","city"
"Saiyoke","2","Thailand","Saiyoke","to","Bangkok Suvarnabhumi Airport (BKK) -> Saiyoke || Bangkok Suvarnabhumi Airport (BKK) -> Saiyoke","missing","city"
"Saltsjöbaden locality","2","Sweden","Saltsjöbaden locality","to","Stockholm Arlanda Airport (ARN) -> Saltsjöbaden locality || Stockholm Arlanda Airport (ARN) -> Saltsjöbaden locality","missing","city"
"Samet Nang She viewpoint, Phang Nga","2","Thailand","Samet Nang She viewpoint, Phang Nga","to","Phuket International Airport (HKT) -> Samet Nang She viewpoint, Phang Nga || Phuket International Airport (HKT) -> Samet Nang She viewpoint, Phang Nga","missing","city"
"Satun","2","Thailand","Satun","to","Phuket International Airport (HKT) -> Satun || Phuket International Airport (HKT) -> Satun","missing","city"
"Si Sunthon, Phuket","2","Thailand","Si Sunthon, Phuket","to","Phuket International Airport (HKT) -> Si Sunthon, Phuket || Phuket International Airport (HKT) -> Si Sunthon, Phuket","missing","city"
"Sigtuna town","2","Sweden","Sigtuna town","to","Stockholm Arlanda Airport (ARN) -> Sigtuna town || Stockholm Arlanda Airport (ARN) -> Sigtuna town","missing","city"
"Skellefteå","2","Sweden","Skellefteå","to","Luleå Airport (LLA) -> Skellefteå || Skellefteå Airport (SFT) -> Skellefteå","missing","city"
"Skogås locality","2","Sweden","Skogås locality","to","Stockholm Arlanda Airport (ARN) -> Skogås locality || Stockholm Arlanda Airport (ARN) -> Skogås locality","missing","city"
"Södertälje city","2","Sweden","Södertälje city","to","Stockholm Arlanda Airport (ARN) -> Södertälje city || Stockholm Arlanda Airport (ARN) -> Södertälje city","missing","city"
"Sollentuna municipality","2","Sweden","Sollentuna municipality","to","Stockholm Arlanda Airport (ARN) -> Sollentuna municipality || Stockholm Arlanda Airport (ARN) -> Sollentuna municipality","missing","city"
"Solna municipality","2","Sweden","Solna municipality","to","Stockholm Arlanda Airport (ARN) -> Solna municipality || Stockholm Arlanda Airport (ARN) -> Solna municipality","missing","city"
"Soma Bay","2","Egypt","Soma Bay","to","Hurghada Airport (HRG) -> Soma Bay || Hurghada Airport (HRG) -> Soma Bay","missing","city"
"Songkhla Province","2","Thailand","Songkhla Province","to","Phuket International Airport (HKT) -> Songkhla Province || Phuket International Airport (HKT) -> Songkhla Province","missing","city"
"Sukhothai disctrict","2","Thailand","Sukhothai disctrict","to","Chiang Mai International Airport (CNX) -> Sukhothai disctrict || Chiang Mai International Airport (CNX) -> Sukhothai disctrict","missing","city"
"Sundbyberg town","2","Sweden","Sundbyberg town","to","Stockholm Arlanda Airport (ARN) -> Sundbyberg town || Stockholm Arlanda Airport (ARN) -> Sundbyberg town","missing","city"
"Syvasenvaar","2","Finland","Syvasenvaar","to","Rovaniemi Airport (RVN) -> Syvasenvaar || Rovaniemi Airport (RVN) -> Syvasenvaar","missing","city"
"Taba","2","Egypt","Taba","to","Sharm el-Sheikh International Airport (SSH) -> Taba || Sharm el-Sheikh International Airport (SSH) -> Taba","missing","city"
"Täby","2","Sweden","Täby","to","Stockholm Arlanda Airport (ARN) -> Täby || Stockholm Arlanda Airport (ARN) -> Täby","missing","city"
"Tala","2","Cyprus","Tala","to","Larnaca Airport (LCA) -> Tala || Paphos Airport (PFO) -> Tala","missing","city"
"Tankhoi","2","Russia","Tankhoi","to","International Airport Irkutsk (IKT) -> Tankhoi || International Airport Irkutsk (IKT) -> Tankhoi","missing","city"
"Tarvantie","2","Finland","Tarvantie","to","Rovaniemi Airport (RVN) -> Tarvantie || Rovaniemi Airport (RVN) -> Tarvantie","missing","city"
"Tashkent","2","Uzbekistan","Tashkent","to","Tashkent International Airport (TAS) -> Tashkent || Tashkent International Airport (TAS) -> Tashkent","missing","city"
"Thai Mueang, Phang Nga","2","Thailand","Thai Mueang, Phang Nga","to","Phuket International Airport (HKT) -> Thai Mueang, Phang Nga || Phuket International Airport (HKT) -> Thai Mueang, Phang Nga","missing","city"
