"status","key","sheetRowId","dbRowId","country","routeFrom","routeTo","vehicleType","pax","sheetPrice","dbPrice","sheetCurrency","dbCurrency"
"price_set_mismatch","denmark	aarhus airport aar	aarhus	standard class car","188","cmm3d3nz50056k8ppyu2485da","Denmark","Aarhus airport (AAR)","Aarhus","Standard class car","3","93.00 EUR","120.00 EUR","EUR","EUR"
"only_in_db","denmark	aarhus airport aar	aarhus outside city center	standard class car","","cmosfia7c0001v8x7ldylt0hc","Denmark","Aarhus Airport (AAR)","Aarhus outside city center","Standard class car","","","140","","EUR"
"only_in_db","denmark	billund airport bll	aarhus city	standard class car","","cmosfia7u0003v8x7ce45x4ys","Denmark","Billund Airport (BLL)","Aarhus city","Standard class car","","","230","","EUR"
"only_in_db","denmark	billund airport bll	horsens	standard class car","","cmosfia8r0007v8x7e0y1t1bt","Denmark","Billund Airport (BLL)","Horsens","Standard class car","","","200","","EUR"
"only_in_db","denmark	billund airport bll	silkeborg	standard class car","","cmosfia8b0005v8x72fpr7a38","Denmark","Billund Airport (BLL)","Silkeborg","Standard class car","","","200","","EUR"
"only_in_sheet","thailand	phuket international airport hkt		standard class car","2446","","Thailand","Phuket International Airport (HKT)","","Standard class car","3","155","","EUR",""
"only_in_sheet","thailand	phuket international airport hkt		standard minivan 8 pax","2447","","Thailand","Phuket International Airport (HKT)","","Standard minivan 8 pax","8","175","","EUR",""
"price_set_mismatch","united states of america	john wayne airport sna	chula vista	standard e vehicle 3 pax","3295","cmm3d3o8d02kxk8pph7gqagr7","United States of America","John Wayne Airport (SNA)","Chula Vista","Standard e-vehicle 3 pax","3","224.11 EUR","224.10 EUR","EUR","EUR"
"price_set_mismatch","united states of america	john wayne airport sna	el cajon	standard e vehicle 3 pax","3309","cmm3d3o8d02lbk8ppw1k97xng","United States of America","John Wayne Airport (SNA)","El Cajon","Standard e-vehicle 3 pax","3","224.11 EUR","224.10 EUR","EUR","EUR"
"price_set_mismatch","united states of america	john wayne airport sna	malibu	first class car","3370","cmm3d3o8e02n0k8pp29vnmnt3","United States of America","John Wayne Airport (SNA)","Malibu","First class car","3","458.33 EUR","458.32 EUR","EUR","EUR"
"price_set_mismatch","united states of america	john wayne airport sna	san fernando	first class car","3454","cmm3d3o9l02pck8pplw3ub4mc","United States of America","John Wayne Airport (SNA)","San Fernando","First class car","3","397.22 EUR","397.21 EUR","EUR","EUR"
"price_set_mismatch","united states of america	john wayne airport sna	san marcos rancho santa fe escondido	first class car","3468","cmm3d3o9l02pqk8ppd15js7xt","United States of America","John Wayne Airport (SNA)","San Marcos+Rancho Santa Fe+Escondido","First class car","3","458.33 EUR","458.32 EUR","EUR","EUR"
"price_set_mismatch","united states of america	john wayne airport sna	thousand oaks simi valley	first class car","3503","cmm3d3o9l02qpk8pp7y5n66ac","United States of America","John Wayne Airport (SNA)","Thousand Oaks+Simi Valley","First class car","3","519.44 EUR","519.43 EUR","EUR","EUR"
"price_set_mismatch","united states of america	john wayne airport sna	thousand oaks simi valley	standard e vehicle 3 pax","3505","cmm3d3o9l02qrk8pphc14e3mt","United States of America","John Wayne Airport (SNA)","Thousand Oaks+Simi Valley","Standard e-vehicle 3 pax","3","200.52 EUR","200.51 EUR","EUR","EUR"
"only_in_sheet","united states of america	los angeles airport lax	anaheim	business class car","3802","","United States of America","Los Angeles Airport (LAX)","Anaheim","Business class car","3","69","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	anaheim	businessvan 6 pax","3803","","United States of America","Los Angeles Airport (LAX)","Anaheim","Businessvan 6 pax","6","102","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	anaheim	first class car","3804","","United States of America","Los Angeles Airport (LAX)","Anaheim","First class car","3","152","","EUR",""
"price_set_mismatch","united states of america	los angeles airport lax	anaheim	standard class car","3805","cmm3d3o9q02z3k8pptob4r30c","United States of America","Los Angeles Airport (LAX)","Anaheim","Standard class car","3","55.00 EUR","83.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	anaheim	standard e vehicle 3 pax","3806","cmm3d3o9q02z4k8ppy44n7246","United States of America","Los Angeles Airport (LAX)","Anaheim","Standard e-vehicle 3 pax","3","89.00 EUR","178.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	anaheim	standard mpv","3807","cmm3d3o9q02z5k8pp3qy5pke8","United States of America","Los Angeles Airport (LAX)","Anaheim","Standard MPV","5","58.00 EUR","89.00 EUR","EUR","EUR"
"only_in_sheet","united states of america	los angeles airport lax	anaheim	suv","3808","","United States of America","Los Angeles Airport (LAX)","Anaheim","SUV","5","58","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	beverly hills	business class car","3809","","United States of America","Los Angeles Airport (LAX)","Beverly Hills","Business class car","3","55","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	beverly hills	businessvan 6 pax","3810","","United States of America","Los Angeles Airport (LAX)","Beverly Hills","Businessvan 6 pax","6","86","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	beverly hills	first class car","3811","","United States of America","Los Angeles Airport (LAX)","Beverly Hills","First class car","3","141","","EUR",""
"price_set_mismatch","united states of america	los angeles airport lax	beverly hills	standard class car","3812","cmm3d3o9q02zak8ppmymw2gzi","United States of America","Los Angeles Airport (LAX)","Beverly Hills","Standard class car","3","42.00 EUR","65.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	beverly hills	standard e vehicle 3 pax","3813","cmm3d3o9q02zbk8pphexpqfxs","United States of America","Los Angeles Airport (LAX)","Beverly Hills","Standard e-vehicle 3 pax","3","75.00 EUR","133.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	beverly hills	standard mpv","3814","cmm3d3o9q02zck8pp9bhcqnsz","United States of America","Los Angeles Airport (LAX)","Beverly Hills","Standard MPV","5","44.00 EUR","67.00 EUR","EUR","EUR"
"only_in_sheet","united states of america	los angeles airport lax	beverly hills	suv","3815","","United States of America","Los Angeles Airport (LAX)","Beverly Hills","SUV","5","44","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	hollywood california	business class car","3837","","United States of America","Los Angeles Airport (LAX)","Hollywood, California","Business class car","3","55","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	hollywood california	businessvan 6 pax","3838","","United States of America","Los Angeles Airport (LAX)","Hollywood, California","Businessvan 6 pax","6","86","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	hollywood california	first class car","3839","","United States of America","Los Angeles Airport (LAX)","Hollywood, California","First class car","3","145","","EUR",""
"price_set_mismatch","united states of america	los angeles airport lax	hollywood california	standard class car","3840","cmm3d3o9q0302k8ppi6zfyizb","United States of America","Los Angeles Airport (LAX)","Hollywood, California","Standard class car","3","42.00 EUR","65.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	hollywood california	standard e vehicle 3 pax","3841","cmm3d3o9q0303k8ppu4pzho17","United States of America","Los Angeles Airport (LAX)","Hollywood, California","Standard e-vehicle 3 pax","3","75.00 EUR","133.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	hollywood california	standard mpv","3842","cmm3d3o9q0304k8ppyicms9kc","United States of America","Los Angeles Airport (LAX)","Hollywood, California","Standard MPV","5","44.00 EUR","67.00 EUR","EUR","EUR"
"only_in_sheet","united states of america	los angeles airport lax	hollywood california	suv","3843","","United States of America","Los Angeles Airport (LAX)","Hollywood, California","SUV","5","44","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	las vegas	business class car","3872","","United States of America","Los Angeles Airport (LAX)","Las Vegas","Business class car","3","596","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	las vegas	businessvan 6 pax","3873","","United States of America","Los Angeles Airport (LAX)","Las Vegas","Businessvan 6 pax","6","884","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	las vegas	first class car","3874","","United States of America","Los Angeles Airport (LAX)","Las Vegas","First class car","3","1650","","EUR",""
"price_set_mismatch","united states of america	los angeles airport lax	las vegas	standard class car","3875","cmm3d3o9r0311k8pp214r23r1","United States of America","Los Angeles Airport (LAX)","Las Vegas","Standard class car","3","554.00 EUR","609.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	las vegas	standard e vehicle 3 pax","3876","cmm3d3o9r0312k8pp4myp9574","United States of America","Los Angeles Airport (LAX)","Las Vegas","Standard e-vehicle 3 pax","3","637.00 EUR","941.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	las vegas	standard mpv","3877|3878","cmm3d3o9r0313k8pp83lo281n","United States of America","Los Angeles Airport (LAX)","Las Vegas","Standard MPV","5","661.00 EUR|661.00 EUR","720.00 EUR","EUR|EUR","EUR"
"only_in_sheet","united states of america	los angeles airport lax	las vegas	suv","3879","","United States of America","Los Angeles Airport (LAX)","Las Vegas","SUV","5","661","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	long beach california	business class car","3880","","United States of America","Los Angeles Airport (LAX)","Long Beach, California","Business class car","3","55","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	long beach california	businessvan 6 pax","3881","","United States of America","Los Angeles Airport (LAX)","Long Beach, California","Businessvan 6 pax","6","86","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	long beach california	first class car","3882","","United States of America","Los Angeles Airport (LAX)","Long Beach, California","First class car","3","152","","EUR",""
"price_set_mismatch","united states of america	los angeles airport lax	long beach california	standard class car","3883","cmm3d3o9r0319k8ppfr7b6n2i","United States of America","Los Angeles Airport (LAX)","Long Beach, California","Standard class car","3","42.00 EUR","72.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	long beach california	standard e vehicle 3 pax","3884","cmm3d3o9r031ak8ppce9vdufi","United States of America","Los Angeles Airport (LAX)","Long Beach, California","Standard e-vehicle 3 pax","3","75.00 EUR","155.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	long beach california	standard mpv","3885","cmm3d3o9r031bk8ppfcbiqlt1","United States of America","Los Angeles Airport (LAX)","Long Beach, California","Standard MPV","5","44.00 EUR","78.00 EUR","EUR","EUR"
"only_in_sheet","united states of america	los angeles airport lax	long beach california	suv","3886","","United States of America","Los Angeles Airport (LAX)","Long Beach, California","SUV","5","44","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	los angeles downtown	business class car","3887","","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","Business class car","3","55","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	los angeles downtown	businessvan 6 pax","3888","","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","Businessvan 6 pax","6","86","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	los angeles downtown	first class car","3889","","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","First class car","3","152","","EUR",""
"price_set_mismatch","united states of america	los angeles airport lax	los angeles downtown	standard class car","3890","cmm3d3o9r031gk8pp8lme6coe","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","Standard class car","3","42.00 EUR","65.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	los angeles downtown	standard e vehicle 3 pax","3891","cmm3d3o9r031hk8ppl81wfk15","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","Standard e-vehicle 3 pax","3","75.00 EUR","133.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	los angeles downtown	standard mpv","3892","cmm3d3o9r031ik8ppax4i16w9","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","Standard MPV","5","44.00 EUR","67.00 EUR","EUR","EUR"
"only_in_sheet","united states of america	los angeles airport lax	los angeles downtown	suv","3893","","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","SUV","5","44","","EUR",""
"only_in_db","united states of america	los angeles airport lax	port of los angeles	standard class car","","cmou59jm20001u2jor972hukg","United States of America","Los Angeles Airport (LAX)","Port of Los Angeles","Standard class car","3","","67","","EUR"
"only_in_db","united states of america	los angeles airport lax	port of los angeles	standard e vehicle 3 pax","","cmou59jmj0005u2jorqu5ml8i","United States of America","Los Angeles Airport (LAX)","Port of Los Angeles","Standard e-vehicle 3 pax","3","","155","","EUR"
"only_in_db","united states of america	los angeles airport lax	port of los angeles	standard mpv","","cmou59jmc0003u2jox9b5mibv","United States of America","Los Angeles Airport (LAX)","Port of Los Angeles","Standard MPV","5","","78","","EUR"
"only_in_db","united states of america	los angeles airport lax	san diego	standard class car","","cmou59jmr0007u2joxa2r8k02","United States of America","Los Angeles Airport (LAX)","San Diego","Standard class car","3","","310","","EUR"
"only_in_db","united states of america	los angeles airport lax	san diego	standard e vehicle 3 pax","","cmou59jn5000bu2joy4k73eue","United States of America","Los Angeles Airport (LAX)","San Diego","Standard e-vehicle 3 pax","3","","443","","EUR"
"only_in_db","united states of america	los angeles airport lax	san diego	standard mpv","","cmou59jmy0009u2jojvdz21co","United States of America","Los Angeles Airport (LAX)","San Diego","Standard MPV","5","","332","","EUR"
"only_in_sheet","united states of america	los angeles airport lax	santa monica	business class car","3936","","United States of America","Los Angeles Airport (LAX)","Santa Monica","Business class car","3","55","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	santa monica	businessvan 6 pax","3937","","United States of America","Los Angeles Airport (LAX)","Santa Monica","Businessvan 6 pax","6","86","","EUR",""
"only_in_sheet","united states of america	los angeles airport lax	santa monica	first class car","3938","","United States of America","Los Angeles Airport (LAX)","Santa Monica","First class car","3","140","","EUR",""
"price_set_mismatch","united states of america	los angeles airport lax	santa monica	standard class car","3939","cmm3d3o9s032tk8ppd62gxqgz","United States of America","Los Angeles Airport (LAX)","Santa Monica","Standard class car","3","42.00 EUR","65.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	santa monica	standard e vehicle 3 pax","3940","cmm3d3o9s032uk8ppdmvv3qc6","United States of America","Los Angeles Airport (LAX)","Santa Monica","Standard e-vehicle 3 pax","3","75.00 EUR","133.00 EUR","EUR","EUR"
"price_set_mismatch","united states of america	los angeles airport lax	santa monica	standard mpv","3941","cmm3d3o9s032vk8ppppfl8bnu","United States of America","Los Angeles Airport (LAX)","Santa Monica","Standard MPV","5","43.00 EUR","67.00 EUR","EUR","EUR"
"only_in_sheet","united states of america	los angeles airport lax	santa monica	suv","3942","","United States of America","Los Angeles Airport (LAX)","Santa Monica","SUV","5","43","","EUR",""
